标题,url,已更新章节数,更新频率（天）,读者数,评论数,最后更新时间,作品类型,总评分,别名（中文名）,标签,作者,平台,是否翻译完成
Back When My Wife Was a Teenager,https://www.novelupdates.com/series/back-when-my-wife-was-a-teenager/,18,25.9,535,5,03-30-2023,"['Romance', 'School Life', 'Yuri']",4.6,回到老婆少年时,"['Child Abuse', 'Delinquents', 'Female Protagonist', 'Modern Day', 'Tsundere']",南和禾一,jjwxc,No
The Time I Found Out the Heroine of a Certain Top Post Was Me,https://www.novelupdates.com/series/the-time-i-found-out-the-heroine-of-a-certain-top-post-was-me/,11,45.3,434,2,12-26-2022,"['Completed', 'Romance', 'School Life', 'Yuri']",4.4,当我发现某贴吧高楼的女主是自己时,"['Charming Protagonist', 'College/University', 'Protagonist Falls in Love First', 'Secret Crush', 'Short Story']",一只花夹子,jjwxc,Yes
The Jealous CEO Treats Me Hypocritically,https://www.novelupdates.com/series/the-jealous-ceo-treats-me-hypocritically/,38,18.6,869,7,12-29-2022,"['Comedy', 'Drama', 'Romance', 'Supernatural', 'Yuri']",4.3,醋精总裁她对我真香了,"['Dense Protagonist', 'Female Protagonist', 'Hard-Working Protagonist', 'Modern Day', 'Money Grubber', 'Mystery Solving', 'Slow Romance', 'Transmigration', 'Tsundere']",久久呀,jjwxc,No
Fascination,https://www.novelupdates.com/series/fascination/,4,31,185,0,12-29-2022,"['Drama', 'Romance', 'Yuri']",4.1,入迷,"['Beautiful Female Lead', 'Boss-Subordinate Relationship', 'Modern Day', 'Wealthy Characters']",清汤涮香菜,jjwxc,No
Wedding Pet,https://www.novelupdates.com/series/wedding-pet/,18,72.7,588,2,01-02-2023,"['Drama', 'Romance', 'Yuri']",3.9,婚宠(GL),"['Devoted Love Interests', 'Doting Love Interests', 'Famous Parents', 'Heartwarming', 'Love Interest Falls in Love First', 'Modern Day', 'Parent Complex', 'Persistent Love Interests', 'Poor to Rich']",安否安否,jjwxc,No
Overturned Water,https://www.novelupdates.com/series/overturned-water/,2,61.5,86,0,01-06-2023,"['Drama', 'Romance', 'Yuri']",3.3,覆水,"['Beautiful Female Lead', 'Black Belly', 'Cold Love Interests', 'Death of Loved Ones', 'Divorce', 'Doting Love Interests', 'Doting Parents', 'Family Business', 'Love Interest Falls in Love First', 'Singers', 'Single Parent', 'Suicides']",宁远,jjwxc,No
She is the Third Kind of Stunning,https://www.novelupdates.com/series/she-is-the-third-kind-of-stunning/,3,33.7,134,2,01-19-2023,"['Drama', 'Romance', 'Yuri']",4.6,她是第三种绝色,[],天在水,jjwxc,No
The Resolute Cannon Fodder Teaching In Ancient Time,https://www.novelupdates.com/series/the-resolute-cannon-fodder-teaching-in-ancient-time/,14,112.2,832,2,01-26-2023,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Yuri']",4.1,坚强的炮灰在古代教书,"['Ancient Times', 'Beautiful Female Lead', 'Farming', 'Hard-Working Protagonist', 'Politics', 'Poor Protagonist', 'Slow Romance', 'Transmigration']",凤啊凤,jjwxc,No
Mortal Enemy Dressed as the Apex Baby,https://www.novelupdates.com/series/mortal-enemy-dressed-as-the-apex-baby__trashed-503/,9,25.6,210,1,12-24-2022,"['Drama', 'Fantasy', 'Romance', 'Shoujo Ai', 'Yuri']",4.6,穿成死敌的心尖小宝贝,"['Beautiful Female Lead', 'Body Swap', 'Business Management', 'Charismatic Protagonist', 'Clever Protagonist', 'Clingy Lover', 'Devoted Love Interests', 'Doting Love Interests', 'Genius Protagonist', 'Loner Protagonist', 'Mature Protagonist', 'Modern Day', 'Obsessive Love', 'Protagonist Falls in Love First', 'Shy Characters', 'Transmigration', 'Tsundere', 'Unconditional Love']",南云北去,jjwxc,No
Second Hand Love Letter,https://www.novelupdates.com/series/second-hand-love-letter-2/,91,16.6,496,2,09-24-2022,"['Completed', 'Drama', 'Romance', 'Shoujo Ai', 'Yuri']",3.5,二手情书,['Beautiful Female Lead'],鸽子不会咕咕咕,jjwxc,Yes
The Self-cultivation After Becoming a Villain Girl,https://www.novelupdates.com/series/the-self-cultivation-after-becoming-a-villain-girl/,10,27.4,307,0,08-30-2022,"['Action', 'Fantasy', 'Gender Bender', 'Harem', 'School Life', 'Yuri']",4.2,变身反派少女后的自我修养,"['Complex Family Relationships', 'Cultivation', 'Demi-Humans', 'Demons', 'Dragons', 'Family Conflict', 'Fantasy World', 'Female Protagonist', 'Game Elements', 'Love Interest Falls in Love First', 'Male to Female', 'Mob Protagonist', 'Modern Day', 'Pets', 'Reincarnated in a Game World', ""Sibling's Care"", 'System Administrator', 'Transmigration']",南笙的鱼,SFACG,No
